t,x,y,theta_deg,idx,target_x,target_y,v,w,danger,stop_emergency,ps0_raw,ps1_raw,ps2_raw,ps3_raw,ps4_raw,ps5_raw,ps6_raw,ps7_raw,ps0_kf,ps1_kf,ps2_kf,ps3_kf,ps4_kf,ps5_kf,ps6_kf,ps7_kf
0.016,-1.0,-1.0,0.0,0,-0.8999999999999999,-0.9750000000000001,0.07692751306414716,0.4899573262537263,0,0,67,68,71,70,65,70,69,67,45.3,46.0,48.0,47.0,43.6,47.0,46.8,44.9
0.024,-0.9993563016418392,-0.9999985461426747,0.2588160931408497,0,-0.8999999999999999,-0.9750000000000001,0.07727210587168673,0.48394304718346937,0,0,69,66,62,66,67,69,65,65,55.3,54.4,54.0,55.1,53.5,56.3,54.6,53.1
0.032,-0.9987769808771643,-0.999995274978294,0.38822413971127456,0,-0.8999999999999999,-0.9750000000000001,0.07737551466610733,0.4821382232453122,0,0,62,67,64,67,64,63,68,70,57.5,58.2,57.3,58.8,56.8,58.4,58.6,58.4
0.04,-0.9981333071464243,-0.9999894596231574,0.6470402328521241,0,-0.8999999999999999,-0.9750000000000001,0.07772084335139302,0.4761111006854935,0,0,72,68,63,66,66,64,74,64,61.2,60.8,58.8,60.6,59.1,59.8,62.5,60.0
0.048,-0.9974896662517571,-0.9999807367387809,0.9058563259929742,0,-0.8999999999999999,-0.9750000000000001,0.07806724751400244,0.47006520750534514,0,0,66,60,57,68,58,69,71,59,62.4,60.8,58.5,62.3,59.1,61.8,64.3,60.0
0.056,-0.9969104193679156,-0.9999709236628105,1.035264372563399,0,-0.8999999999999999,-0.9750000000000001,0.07817231241541368,0.46823147904743606,0,0,67,72,71,65,61,67,67,64,63.3,63.0,61.0,63.0,59.6,62.9,64.9,60.9
0.064,-0.9962668523523701,-0.9999578398368449,1.2940804657042486,0,-0.8999999999999999,-0.9750000000000001,0.07851951064928356,0.4621717267092973,0,0,71,66,67,66,65,54,64,72,64.6,63.6,62.1,63.5,60.6,61.5,64.9,62.9
0.07200000000000001,-0.9956233510047823,-0.9999418490378473,1.5528965588450983,0,-0.8999999999999999,-0.9750000000000001,0.07886782966442567,0.4560924130477635,0,0,70,69,61,69,65,64,71,68,65.5,64.5,61.9,64.5,61.3,62.0,66.0,63.8
0.08,-0.9950442518731859,-0.99992549530175,1.682304605415524,0,-0.8999999999999999,-0.9750000000000001,0.07897464597015597,0.454228116817953,0,0,63,63,74,68,66,70,68,63,65.2,64.3,63.8,65.1,62.1,63.3,66.3,63.8
0.088,-0.994400873646999,-0.999905144673537,1.9411206985563738,0,-0.8999999999999999,-0.9750000000000001,0.07932382209810679,0.4481338437158461,0,0,68,69,69,65,73,65,66,66,65.6,65.1,64.7,65.3,63.8,63.7,66.3,64.2
0.096,-0.9937575939122801,-0.9998818879992266,2.199936791697224,0,-0.8999999999999999,-0.9750000000000001,0.07967416748266438,0.4420191632361503,0,0,68,66,60,64,67,66,67,73,66.0,65.3,64.0,65.2,64.4,64.1,66.4,65.5
0.10400000000000001,-0.9931144257951507,-0.9998557257533712,2.458752884838073,0,-0.8999999999999999,-0.9750000000000001,0.08002570579991679,0.4358836621531757,0,0,66,68,62,61,67,72,67,68,66.0,65.8,63.8,64.7,64.9,65.3,66.6,66.0
0.112,-0.9924713184084104,-0.9998281109182284,2.458752884838073,0,-0.8999999999999999,-0.9750000000000001,0.07985913044524677,0.43879095054484457,0,0,69,65,66,71,65,70,70,69,66.6,65.7,64.1,65.6,64.9,66.1,67.2,66.5
0.12,-0.9918282750327144,-0.9997990436346685,2.717568977978923,0,-0.8999999999999999,-0.9750000000000001,0.08020969616095473,0.4326724245611302,0,0,67,67,69,62,66,68,71,65,66.7,66.0,64.8,65.1,65.1,66.4,67.7,66.3
0.128,-0.9911853695197506,-0.999767071906522,2.9763850711197724,0,-0.8999999999999999,-0.9750000000000001,0.08056148281358641,0.42653258920813775,0,0,72,73,67,63,63,62,67,63,67.4,67.0,65.1,64.8,64.9,65.9,67.7,66.0
0.136,-0.9905426149880043,-0.999732196386172,3.2352011642606233,0,-0.8999999999999999,-0.9750000000000001,0.08091451578019773,0.42037100157268714,0,0,61,66,69,67,65,69,70,67,66.6,66.9,65.7,65.2,65.0,66.4,68.1,66.1
0.14400000000000002,-0.9898999408653467,-0.9996958692328806,3.2352011642606224,0,-0.8999999999999999,-0.9750000000000001,0.08074944142146954,0.42325209264311225,0,0,62,67,63,62,67,69,67,67,66.0,66.9,65.5,64.8,65.3,66.8,68.1,66.3
0.152,-0.9892573504302229,-0.9996580906319619,3.494017257401474,0,-0.8999999999999999,-0.9750000000000001,0.08110151433603485,0.417107261076855,0,0,67,68,67,68,60,66,66,64,66.2,67.2,65.8,65.4,64.6,66.7,67.8,66.0
0.16,-0.9886149372037778,-0.9996174097213468,3.7528333505423213,0,-0.8999999999999999,-0.9750000000000001,0.0814548643661712,0.41094013963895437,0,0,63,66,65,69,65,69,66,70,65.9,67.1,65.8,65.9,64.8,67.1,67.7,66.6
0.168,-0.987972714294452,-0.9995738273311293,4.011649443683172,0,-0.8999999999999999,-0.9750000000000001,0.08180951878031859,0.40475025240535084,0,0,67,72,62,62,69,57,64,65,66.2,67.8,65.4,65.4,65.5,65.9,67.3,66.4
