tiempo_s,x_est,y_est,theta_deg,wp_restantes
0.016,-1.0,-1.0,1.7972360591180188,77
0.024,-1.0,-1.0,5.575470795513626,77
0.032,-1.0,-1.0,9.057419164345658,77
0.04,-1.0,-1.0,12.280815794097055,77
0.048,-1.0,-1.0,15.313479436026102,77
0.056,-1.0,-1.0,18.178617563366856,77
0.064,-1.0,-1.0,20.899634075103325,77
0.07200000000000001,-1.0,-1.0,23.497935074072856,77
0.08,-1.0000585420078267,-1.000026755448835,25.84651205114603,77
0.088,-1.0000585420078267,-1.000026755448835,27.95900073711978,77
0.096,-1.0000585420078267,-1.000026755448835,29.987765977880297,77
0.10400000000000001,-1.0000585420078267,-1.000026755448835,31.94191198718559,77
0.112,-1.0000044760188898,-0.9999918268348609,33.6877472391479,77
0.12,-1.0000574527806172,-1.0000283864020183,35.37244391318536,77
0.128,-1.0000574527806172,-1.0000283864020183,36.8598898637039,77
0.136,-1.0000574527806172,-1.0000283864020183,38.29741026229696,77
0.14400000000000002,-1.0000574527806172,-1.0000283864020183,39.68773098258228,77
0.152,-1.0000084835572236,-0.9999866101410888,40.895256288647765,77
0.16,-1.000056561524002,-1.0000294090888266,42.06245085778141,77
0.168,-1.0000093653465778,-0.9999856396742366,43.194072820544974,77
0.176,-1.0000093653465778,-0.9999856396742366,44.151352318807085,77
0.184,-1.0000549347599321,-1.000031100309775,45.22437827648401,77
0.192,-1.0000549347599321,-1.000031100309775,46.129497636638824,77
0.2,-1.0000549347599321,-1.000031100309775,47.01184672248087,77
0.20800000000000002,-1.0000115724571652,-0.9999835289300399,47.72799990553423,77
0.216,-1.0000115724571652,-0.9999835289300399,48.571012705586206,77
0.224,-1.0000536243252898,-1.000032262551477,49.26211815489415,77
0.232,-1.0000121633301464,-0.9999830252551168,49.93907469871244,77
0.24,-1.0000530397003478,-1.0000327489700858,50.60842607441269,77
0.248,-1.0000127469978666,-0.9999825511255314,51.2689048070921,77
0.256,-1.000052458378982,-1.0000332100998701,51.93439133313625,77
0.264,-1.0000133380637626,-0.9999820933080276,52.5929062995556,77
0.272,-1.0000133380637626,-0.9999820933080276,53.11461240078644,77
0.28,-1.0000133380637626,-0.9999820933080276,53.64139660820329,77
0.28800000000000003,-1.0000509183281219,-1.0000343527492974,54.317466601025096,77
0.296,-1.0000509183281219,-1.0000343527492974,54.863284752875735,77
0.304,-1.0000509183281219,-1.0000343527492974,55.41980706417308,77
0.312,-1.0000148455997984,-0.999981040916964,55.856706172414356,77
0.32,-1.0000148455997984,-0.999981040916964,56.454312011664136,77
0.328,-1.0000148455997984,-0.999981040916964,57.06555510126829,77
0.336,-1.0000493723445172,-1.000035366758831,57.561756202706015,77
0.34400000000000003,-1.0000153173691115,-0.999980743944499,58.08148156777292,77
0.352,-1.0000153173691115,-0.999980743944499,58.76738092394061,77
0.36,-1.0000482155104722,-1.0000360712026133,59.3428205149856,77
0.368,-1.0000482155104722,-1.0000360712026133,59.80423127284536,77
0.376,-1.000016323928181,-0.9999801576964237,60.43808979040371,77
0.384,-1.0000475950049925,-1.0000364205878396,61.103791497449116,77
0.392,-1.0000475950049925,-1.0000364205878396,61.661452379629274,77
0.4,-1.0000175322734695,-0.9999795028808511,62.41481697321318,77
0.40800000000000003,-1.0000175322734695,-0.9999795028808511,64.23810034698826,77
0.41600000000000004,-0.9999624409053256,-0.9998631472879868,69.55573624773433,77
0.424,-0.9998961100099063,-0.9996817879534705,82.38158693825896,77
0.432,-0.999820016267887,-0.9991074772188556,102.69433947876686,77
0.44,-0.9999174000062236,-0.9986675376522571,93.04394148006477,77
0.448,-0.9999541244968645,-0.9979604208439448,94.00121539808984,77
0.456,-0.9999990403603555,-0.9973182898174348,92.09139727447788,77
0.464,-1.0000272295255948,-0.9965463643517561,91.40524968811997,77
0.47200000000000003,-1.0000461726703878,-0.9957741566654014,91.11269754723297,77
0.48,-1.000059260614445,-0.9950018283412726,90.53479925244234,77
0.488,-1.0000664704707314,-0.9942294219899442,90.49460024429376,77
0.496,-1.0000747298896768,-0.9933926529654098,90.52656805577018,77
0.504,-1.000081828780847,-0.9926202455862735,90.28427768551836,77
0.512,-1.0000856612892155,-0.9918478150939445,90.12999580939899,77
0.52,-1.0000874138419815,-0.9910753770820893,90.0425259826934,77
0.528,-1.0000869990636718,-0.9902385673986005,89.84585541518706,77
0.536,-1.0000849209472649,-0.9894661301940122,89.91394015109317,77
0.544,-1.0000837607214113,-0.9886936910653581,89.92820057837088,77
0.552,-1.0000837479586453,-0.9878568812791709,90.05986115067996,77
0.56,-1.000084554983861,-0.9870844417007505,89.95746543689552,77
0.5680000000000001,-1.0000828978900322,-0.9862476335551988,89.78250655862642,77
0.5760000000000001,-1.0000799657328678,-0.9854751991204056,89.87229882835447,77
0.584,-1.0000782441154608,-0.9847027610389819,89.90994729532336,77
0.592,-1.0000779647619316,-0.9838659512993259,90.06649624976698,77
0.6,-1.0000788612389857,-0.983093511819542,89.98773113505301,77
0.608,-1.0000776461776248,-0.9822567029154023,89.8139497754575,77
0.616,-1.0000751379233674,-0.9814842669877938,89.88169914335927,77
0.624,-1.000073543037155,-0.9807118286343066,89.91691285197122,77
0.632,-1.0000733654161758,-0.979875018866873,90.074439357783,77
0.64,-1.000074368979123,-0.9791025795187935,90.01699672609692,77
0.648,-1.0000735813439248,-0.9782657701031842,89.84367678799244,77
0.656,-1.0000714738561989,-0.977493332978173,89.88154011271801,77
0.664,-1.0000698768260001,-0.9767208946291156,89.9068524042599,77
0.672,-1.0000695522713237,-0.9758840849057699,90.0632659543983,77
0.68,-1.000070405198787,-0.9751116453766709,90.03433256297711,77
0.6880000000000001,-1.0000698707548972,-0.9742748357610527,89.87255189134089,77
0.6960000000000001,-1.000068152549181,-0.9735023976720325,89.88544444281725,77
