tiempo_s,x_est,y_est,theta_deg,wp_restantes,dist_wp,estado,crudo_m,kalman_m,enc_izq_rad,enc_der_rad,long_ejecutada_m
0.688,-1.0772,-1.0886,35.89,154,0.0822,FOLLOW_PATH,0.1408,0.1358,0.4647,2.0536,0.0258
0.704,-1.0762,-1.0879,36.46,154,0.0811,FOLLOW_PATH,0.1378,0.1354,0.5087,2.1226,0.027
0.72,-1.0754,-1.0872,36.88,154,0.0801,FOLLOW_PATH,0.1366,0.1349,0.5526,2.1854,0.0281
0.736,-1.0744,-1.0865,37.31,154,0.0789,FOLLOW_PATH,0.136,0.1342,0.6029,2.2545,0.0293
0.752,-1.0735,-1.0858,37.73,154,0.0778,FOLLOW_PATH,0.1398,0.1346,0.6468,2.3173,0.0304
0.768,-1.0726,-1.0851,38.16,154,0.0766,FOLLOW_PATH,0.1355,0.1339,0.6971,2.3864,0.0316
0.784,-1.0717,-1.0844,38.58,154,0.0756,FOLLOW_PATH,0.1371,0.1338,0.741,2.4492,0.0327
0.8,-1.0709,-1.0837,39.01,154,0.0745,FOLLOW_PATH,0.14,0.1344,0.785,2.512,0.0338
0.816,-1.0699,-1.0829,39.43,154,0.0733,FOLLOW_PATH,0.1392,0.1346,0.8352,2.5811,0.035
0.832,-1.0691,-1.0822,39.86,154,0.0722,FOLLOW_PATH,0.1335,0.1335,0.8792,2.6439,0.0361
0.848,-1.0682,-1.0815,40.14,154,0.0711,FOLLOW_PATH,0.133,0.1325,0.9294,2.7067,0.0373
0.864,-1.0673,-1.0807,40.71,154,0.07,FOLLOW_PATH,0.1361,0.1324,0.9734,2.7758,0.0384
0.88,-1.0664,-1.08,40.99,154,0.0688,FOLLOW_PATH,0.1384,0.1329,1.0236,2.8386,0.0396
0.896,-1.0655,-1.0792,41.28,154,0.0677,FOLLOW_PATH,0.1401,0.1337,1.0739,2.9014,0.0407
0.912,-1.0647,-1.0785,41.7,154,0.0666,FOLLOW_PATH,0.1387,0.134,1.1178,2.9642,0.0418
0.928,-1.0638,-1.0777,42.13,154,0.0654,FOLLOW_PATH,0.1384,0.1341,1.1681,3.0332,0.0431
0.944,-1.063,-1.0769,42.56,154,0.0644,FOLLOW_PATH,0.14,0.1347,1.212,3.096,0.0442
0.96,-1.0622,-1.0762,42.84,154,0.0632,FOLLOW_PATH,0.137,0.1343,1.2623,3.1588,0.0453
0.976,-1.0613,-1.0754,43.12,154,0.0621,FOLLOW_PATH,0.1395,0.1346,1.3125,3.2216,0.0465
0.992,-1.0605,-1.0746,43.55,154,0.061,FOLLOW_PATH,0.1378,0.1346,1.3565,3.2844,0.0476
1.008,-1.0597,-1.0738,43.83,154,0.0599,FOLLOW_PATH,0.1393,0.1348,1.4067,3.3472,0.0487
1.024,-1.0588,-1.073,44.12,154,0.0587,FOLLOW_PATH,0.133,0.1335,1.457,3.41,0.0499
1.04,-1.058,-1.0722,44.54,154,0.0575,FOLLOW_PATH,0.1373,0.1334,1.5072,3.4791,0.0511
1.056,-1.0572,-1.0714,44.97,154,0.0565,FOLLOW_PATH,0.1356,0.1331,1.5512,3.5419,0.0522
1.072,-1.0564,-1.0706,45.25,154,0.0553,FOLLOW_PATH,0.137,0.1331,1.6014,3.6047,0.0534
1.088,-1.0556,-1.0697,45.53,154,0.0542,FOLLOW_PATH,0.1375,0.1333,1.6516,3.6675,0.0545
1.104,-1.0547,-1.0689,45.82,154,0.053,FOLLOW_PATH,0.138,0.1335,1.7019,3.7303,0.0557
1.12,-1.054,-1.0681,46.24,154,0.052,FOLLOW_PATH,0.1372,0.1335,1.7458,3.7931,0.0568
1.136,-1.0532,-1.0673,46.53,154,0.0508,FOLLOW_PATH,0.1391,0.1339,1.7961,3.8559,0.0579
1.152,-1.0524,-1.0664,46.81,153,0.0497,FOLLOW_PATH,0.1386,0.1341,1.8463,3.9187,0.0591
1.168,-1.0524,-1.0664,46.81,153,0.0846,FOLLOW_PATH,0.1379,0.135,1.8463,3.9187,0.0591
1.184,-1.0516,-1.0656,46.95,153,0.0835,FOLLOW_PATH,0.1295,0.1329,1.8966,3.9752,0.0602
