t,x,y,theta_deg,idx,target_x,target_y,v,w,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7
0.2,-0.999935635967501,-0.9999991235181265,35.604633120828254,0,-1.0,-0.8999999999999999,0.0,2.850065687248099,61,71,66,73,66,64,71,67
0.20800000000000002,-0.999935635967501,-0.9999991235181265,37.02314440054253,0,-1.0,-0.8999999999999999,0.0,2.7757926103250226,61,66,70,64,64,69,67,71
0.216,-0.999935635967501,-0.9999991235181265,38.157953424313945,0,-1.0,-0.8999999999999999,0.0,2.716374148786561,71,66,69,66,65,68,64,64
0.224,-0.999935635967501,-0.9999991235181265,39.29276244808536,0,-1.0,-0.8999999999999999,0.0,2.6569556872480993,66,69,64,67,66,64,68,61
0.232,-0.999935635967501,-0.9999991235181265,40.711273727799636,0,-1.0,-0.8999999999999999,0.0,2.582682610325022,68,62,64,64,66,69,72,77
0.24,-0.999935635967501,-0.9999991235181265,41.84608275157106,0,-1.0,-0.8999999999999999,0.0,2.5232641487865606,67,69,68,73,66,75,72,71
0.248,-0.999935635967501,-0.9999991235181265,42.98089177534248,0,-1.0,-0.8999999999999999,0.0,2.463845687248099,70,68,68,69,64,65,67,67
0.256,-0.999935635967501,-0.9999991235181265,44.115700799113895,0,-1.0,-0.8999999999999999,0.0,2.4044272257096373,68,63,64,69,68,60,65,71
0.264,-0.999935635967501,-0.9999991235181265,45.25050982288532,0,-1.0,-0.8999999999999999,0.0,2.3450087641711757,61,64,68,67,70,70,71,62
0.272,-0.999935635967501,-0.9999991235181265,46.38531884665675,0,-1.0,-0.8999999999999999,0.0,2.2855903026327136,67,64,66,65,66,65,67,70
0.28,-0.999935635967501,-0.9999991235181265,47.23642561448531,0,-1.0,-0.8999999999999999,0.0,2.2410264564788673,66,69,68,69,72,63,70,68
0.28800000000000003,-0.999935635967501,-0.9999991235181265,48.37123463825674,0,-1.0,-0.8999999999999999,0.0,2.1816079949404057,63,67,65,70,65,57,71,72
0.296,-0.999935635967501,-0.9999991235181265,49.506043662028155,0,-1.0,-0.8999999999999999,0.0,2.122189533401944,68,67,59,70,67,61,71,62
0.304,-0.999935635967501,-0.9999991235181265,50.357150429856716,0,-1.0,-0.8999999999999999,0.0,2.077625687248098,64,64,73,66,71,62,69,68
0.312,-0.999935635967501,-0.9999991235181265,51.20825719768528,0,-1.0,-0.8999999999999999,0.0,2.033061841094252,69,64,62,65,67,75,68,67
0.32,-0.999935635967501,-0.9999991235181265,52.343066221456695,0,-1.0,-0.8999999999999999,0.0,1.9736433795557904,67,69,64,62,69,62,75,67
