t,x,y,theta_deg,idx,target_x,target_y,v,w
0.016,-1.0,-1.0,0.0,0,-0.975,-0.7749999999999999,0.0,4.0
0.024,-0.999935635967501,-0.9999991235181265,1.5603624076857001,0,-0.975,-0.7749999999999999,0.0,4.0
0.032,-0.999935635967501,-0.9999991235181265,3.546278199285682,0,-0.975,-0.7749999999999999,0.0,4.0
0.04,-0.999935635967501,-0.9999991235181265,5.248491734942809,0,-0.975,-0.7749999999999999,0.0,4.0
0.048,-0.999935635967501,-0.9999991235181265,7.234407526542791,0,-0.975,-0.7749999999999999,0.0,4.0
0.056,-0.999935635967501,-0.9999991235181265,8.936621062199917,0,-0.975,-0.7749999999999999,0.0,4.0
0.064,-0.999935635967501,-0.9999991235181265,10.9225368537999,0,-0.975,-0.7749999999999999,0.0,4.0
0.07200000000000001,-0.999935635967501,-0.9999991235181265,12.624750389457027,0,-0.975,-0.7749999999999999,0.0,4.0
0.08,-0.999935635967501,-0.9999991235181265,14.61066618105701,0,-0.975,-0.7749999999999999,0.0,4.0
0.088,-0.999935635967501,-0.9999991235181265,16.312879716714136,0,-0.975,-0.7749999999999999,0.0,4.0
0.096,-0.999935635967501,-0.9999991235181265,18.298795508314118,0,-0.975,-0.7749999999999999,0.0,3.9936646086329146
0.10400000000000001,-0.999935635967501,-0.9999991235181265,20.001009043971244,0,-0.975,-0.7749999999999999,0.0,3.889682300940607
0.112,-0.999935635967501,-0.9999991235181265,21.703222579628374,0,-0.975,-0.7749999999999999,0.0,3.785699993248299
0.12,-0.999935635967501,-0.9999991235181265,23.4054361152855,0,-0.975,-0.7749999999999999,0.0,3.6817176855559914
0.128,-0.999935635967501,-0.9999991235181265,25.107649650942626,0,-0.975,-0.7749999999999999,0.0,3.577735377863683
0.136,-0.999935635967501,-0.9999991235181265,26.809863186599753,0,-0.975,-0.7749999999999999,0.0,3.473753070171376
0.14400000000000002,-0.999935635967501,-0.9999991235181265,28.512076722256882,0,-0.975,-0.7749999999999999,0.0,3.3697707624790683
0.152,-0.999935635967501,-0.9999991235181265,29.930588001971152,0,-0.975,-0.7749999999999999,0.0,3.283118839402145
0.16,-0.999935635967501,-0.9999991235181265,31.63280153762828,0,-0.975,-0.7749999999999999,0.0,3.1791365317098377
0.168,-0.999935635967501,-0.9999991235181265,33.05131281734255,0,-0.975,-0.7749999999999999,0.0,3.0924846086329145
0.176,-0.999935635967501,-0.9999991235181265,34.46982409705682,0,-0.975,-0.7749999999999999,0.0,3.0058326855559914
0.184,-0.999935635967501,-0.9999991235181265,35.888335376771096,0,-0.975,-0.7749999999999999,0.0,2.9191807624790687
0.192,-0.999935635967501,-0.9999991235181265,37.02314440054251,0,-0.975,-0.7749999999999999,0.0,2.8498592240175302
0.2,-0.999935635967501,-0.9999991235181265,38.44165568025679,0,-0.975,-0.7749999999999999,0.0,2.7632073009406066
0.20800000000000002,-0.999935635967501,-0.9999991235181265,39.57646470402821,0,-0.975,-0.7749999999999999,0.01680098018261008,2.693885762479068
0.216,-0.9998374292972212,-0.999915880275082,40.994975983742485,0,-0.975,-0.7749999999999999,0.019593216161306826,2.6086017676674853
0.224,-0.9997411016710183,-0.9998304696432491,42.1297850075139,0,-0.975,-0.7749999999999999,0.021819076944127408,2.54061671880282
0.232,-0.9995518672961674,-0.9996558663735924,43.26459403128532,0,-0.975,-0.7749999999999999,0.024003002228776278,2.4739125168421348
0.24,-0.9994589976630893,-0.9995667079816601,44.399403055056744,0,-0.975,-0.7749999999999999,0.026230701919794416,2.4058713017227626
